ward_code,min_lon,min_lat,max_lon,max_lat
11105,13.752494,11.067627,13.857039,11.136231
60601,4.377786,13.460068,4.605674,13.674646
BA1111,9.819568,11.532217,9.925922,11.60852
BYSKMR12,5.821553,5.013172,5.868537,5.083061
BA1112,9.853822,11.626627,9.948355,11.69216
BA1110,9.810676,11.598879,9.899111,11.709209
10106,13.326848,13.641112,13.649817,13.708713
11405,12.440747,11.200384,12.829253,11.538282
11802,11.935756,10.488705,11.999592,10.583892
12602,13.108198,12.613864,13.2503,12.797868
11113,13.552432,11.11965,13.778536,11.388475
BYSNEM13,6.431604,4.469583,6.539985,4.612566
10101,13.160427,13.128173,13.762076,13.685208
BA0903,10.126175,11.338295,10.198627,11.422097
BA0905,10.180697,11.36674,10.21678,11.40524
BA0909,10.273262,11.449592,10.352489,11.527412
DTSWRC03,5.50732,5.379665,5.664828,5.514643
DTSWRC05,5.586695,5.377606,5.788487,5.491034
DTSWWR07,5.599772,5.466479,5.755845,5.545214
EDSGBZ09,5.237491,6.648229,5.461596,6.888346
EDSGBZ02,5.112367,6.590966,5.430752,6.854491
BA1113,9.934662,11.646826,10.007624,11.707362
BA0911,10.135405,11.294097,10.235867,11.38396
BA0908,10.18007,11.400436,10.279782,11.460757
BA0902,10.213202,11.347921,10.323464,11.438803
BA0913,10.212471,11.41923,10.318689,11.495037
BA1102,9.929426,11.664329,9.93829,11.67231
BA1103,9.91936,11.651442,9.939692,11.664855
BA1104,9.899473,11.662624,9.947611,11.711727
BA1101,9.919353,11.662283,9.932037,11.670144
ODSIAE10,4.960061,5.950024,5.046916,6.064144
ODSIAE11,4.907331,5.887739,5.018108,5.975414
BA0904,10.219326,11.485588,10.310849,11.565752
BA1415,10.419818,11.214569,10.51831,11.317138
DTSKLK02,5.046916,5.87607,5.272553,6.169373
AKSAEE01,7.626348,4.948182,7.708704,4.984532
OGSEWO02,3.164488,6.83206,3.246101,6.880897
OYSIJA04,3.173102,7.772053,3.284698,7.958896
BA1413,10.449312,11.295902,10.531718,11.36307
JI1102,9.960602,11.092429,10.263644,11.269661
BA1404,10.41567,11.306971,10.46805,11.377625
BA1402,10.296682,11.204781,10.444045,11.339525
BA1405,10.49591,11.254115,10.604589,11.391269
BA0906,10.183553,11.526547,10.293973,11.61279
BA0912,10.138957,11.20317,10.334909,11.322864
BA0907,10.164162,11.482033,10.240627,11.568475
BA1611,9.947395,11.594609,10.13818,11.683853
BA1205,10.260007,11.570291,10.41155,11.757421
AKSMKP11,7.722708,4.644868,7.802892,4.697423
AKSAFG09,7.817558,4.957966,7.86237,4.993269
AKSBMT07,7.841972,5.02639,7.883833,5.08923
BA0901,10.224152,11.256704,10.339061,11.402149
BA1212,10.330286,11.558345,10.450228,11.694518
JI1903,9.46999,11.683395,9.639735,11.87415
BA1401,10.313434,11.387459,10.393908,11.463102
AKSMKP12,7.805667,4.779571,7.866954,4.824961
BA1411,10.305686,11.437908,10.381331,11.512414
BA0910,10.291564,11.509494,10.405772,11.62767
BA1409,10.332203,11.300876,10.529738,11.408978
AKSAED07,8.003156,4.749721,8.071494,4.785023
AKSNGD02,7.908088,4.900291,7.968955,4.955392
BA1206,10.073644,11.669033,10.283989,11.778642
BA1504,9.523913,10.846163,9.622564,10.966248
KN1208,8.5334,12.009517,8.552273,12.065004
AKSAFG02,7.854275,4.942083,7.905843,5.011775
BA1207,10.093408,11.565797,10.28569,11.684962
BA1407,10.446708,11.406205,10.470106,11.441436
BA1211,10.439661,11.481358,10.55834,11.582471
BA0514,10.743215,11.316526,10.934409,11.467794
BA1109,10.001598,11.641905,10.074787,11.720246
JI2506,9.040895,12.735138,9.182913,12.846141
BA1410,10.472514,11.444017,10.593697,11.511703
AKSABK11,7.773779,5.021247,7.821201,5.096247
AKSDUU01,8.043685,4.959105,8.119127,5.01358
BA1403,10.423296,11.416837,10.544573,11.494705
BA1412,10.50426,11.361751,10.605958,11.457274
BA1219,9.974646,11.699738,10.154065,11.81085
JI2508,9.141943,12.611278,9.318663,12.734573
JI2105,9.906018,12.509188,10.052504,12.650473
BA1208,10.368137,11.49231,10.456998,11.561455
BA1210,10.535909,11.488338,10.621607,11.613599
BA1209,10.404501,11.557018,10.576345,11.637927
BA0504,10.422015,11.020338,10.540618,11.217294
BA0503,10.361809,11.056291,10.47406,11.129786
BA0507,10.743374,11.395345,10.880062,11.479453
JI1911,9.39532,11.791141,9.640645,11.946977
BA1009,10.077504,11.759896,10.309804,11.924032
BA1406,10.37299,11.38472,10.510598,11.453129
JI0303,9.29859,11.407991,9.453916,11.561323
BA2015,10.238012,11.871565,10.358325,11.974785
JI2602,9.113547,12.218049,9.33558,12.340367
BA2006,10.287007,11.947185,10.438196,12.109769
BA0108,9.885567,9.699528,10.15829,9.946845
AKSKET10,7.965631,4.643531,8.009936,4.689866
AKSBMT04,7.883505,5.099952,7.943099,5.185129
OGSABN08,3.202908,7.075372,3.306009,7.173696
BA2009,10.350425,11.904509,10.45963,11.959005
BA1010,10.164609,11.738822,10.473939,11.916144
BA1217,10.192057,11.654432,10.229839,11.687818
OGSABN11,3.313017,7.148687,3.328962,7.166227
BA1214,10.173296,11.676267,10.194227,11.703513
BA1202,10.17566,11.655882,10.191849,11.678616
BA1218,10.18851,11.664442,10.19394,11.675074
BA1216,10.16253,11.631842,10.236352,11.667935
BA1213,10.170322,11.659745,10.185455,11.688151
JI0206,8.862431,12.62602,9.080054,12.816157
OGSABN14,3.327702,7.152372,3.340708,7.181672
BA1203,10.136826,11.634185,10.240042,11.733274
BA1201,10.191075,11.669351,10.236502,11.703513
JI0301,9.383383,11.39133,9.569726,11.501189
BA1016,10.16277,11.876945,10.284689,11.979931
OGSADO02,2.921947,6.584251,2.958026,6.617473
BA1012,10.031635,11.900577,10.230727,12.081408
OGSADO01,2.905068,6.567106,2.951141,6.595157
BA1007,9.805583,11.843472,9.975342,11.960374
BA1004,9.673368,11.788869,9.802574,11.867927
BA1005,9.751024,11.834749,9.839144,11.882449
BA1006,9.678631,11.752476,9.867469,11.850187
BA1011,10.011088,11.775551,10.144292,11.928893
OGSEWO10,3.221858,6.942053,3.313797,7.022596
JI2610,9.225233,12.151056,9.303539,12.26223
JI0309,9.194972,11.326649,9.353217,11.445679
BA1008,9.618957,11.720727,9.779568,11.794117
OYSICL10,3.209228,7.485342,3.261938,7.524542
BA0717,10.522978,11.662928,10.703895,11.889788
BA2005,10.226257,12.058866,10.315869,12.173106
JI0210,8.695531,12.415943,8.793416,12.551507
EBSEBJ07,7.85116,6.224202,7.965665,6.298067
BA0718,10.682354,11.868833,10.826193,12.07114
BA1001,9.949753,11.846479,10.018819,11.921578
OGSEWO05,3.17084,6.888513,3.311862,6.963687
OGSOBE03,3.689322,7.095335,3.79444,7.243215
EBSNKE08,7.935187,6.046403,7.990468,6.100866
EBSCHR05,8.006311,6.00773,8.052354,6.05316
BA1013,9.962657,11.856444,10.040605,11.98355
BA2017,10.152493,12.058223,10.250823,12.112815
BA2013,10.291099,12.062338,10.422845,12.185187
OGSABN06,3.232455,7.124363,3.324811,7.22726
BA0714,10.431258,12.170174,10.660632,12.29626
BA2004,10.147536,12.124456,10.328544,12.23891
